0.000,0.000,0.000,-2.000,0.000,0.000,-100.000
0.020,0.049,0.040,-1.975,2.474,1.978,1.237
0.040,0.099,0.079,-1.951,2.471,1.969,1.235
0.060,0.148,0.118,-1.926,2.465,1.952,1.233
0.080,0.197,0.157,-1.901,2.457,1.926,1.229
0.100,0.246,0.194,-1.877,2.447,1.892,1.223
0.120,0.295,0.231,-1.853,2.433,1.850,1.217
0.140,0.343,0.267,-1.828,2.417,1.800,1.209
0.160,0.391,0.302,-1.804,2.399,1.742,1.199
0.180,0.439,0.336,-1.781,2.377,1.676,1.189
0.200,0.486,0.368,-1.757,2.353,1.603,1.177
0.220,0.532,0.398,-1.734,2.327,1.523,1.163
0.240,0.578,0.427,-1.711,2.298,1.436,1.149
0.260,0.624,0.454,-1.688,2.267,1.343,1.133
0.280,0.668,0.479,-1.666,2.233,1.245,1.116
0.300,0.712,0.501,-1.644,2.196,1.140,1.098
0.320,0.755,0.522,-1.622,2.158,1.031,1.079
0.340,0.798,0.540,-1.601,2.116,0.918,1.058
0.360,0.839,0.556,-1.580,2.073,0.800,1.037
0.380,0.880,0.570,-1.560,2.027,0.679,1.014
0.400,0.919,0.581,-1.540,1.979,0.555,0.990
0.420,0.958,0.590,-1.521,1.929,0.429,0.965
0.440,0.995,0.596,-1.502,1.877,0.300,0.939
0.460,1.032,0.599,-1.484,1.823,0.171,0.912
0.480,1.067,0.600,-1.466,1.767,0.040,0.884
0.500,1.101,0.598,-1.449,1.709,-0.090,0.855
0.520,1.134,0.594,-1.433,1.649,-0.220,0.825
0.540,1.166,0.587,-1.417,1.587,-0.349,0.794
0.560,1.197,0.577,-1.402,1.524,-0.477,0.762
0.580,1.226,0.565,-1.387,1.459,-0.603,0.729
0.600,1.254,0.551,-1.373,1.392,-0.726,0.696
0.620,1.280,0.534,-1.360,1.324,-0.845,0.662
0.640,1.305,0.515,-1.347,1.254,-0.961,0.627
0.660,1.329,0.493,-1.336,1.183,-1.073,0.592
0.680,1.351,0.469,-1.324,1.111,-1.181,0.555
0.700,1.372,0.444,-1.314,1.037,-1.283,0.519
0.720,1.391,0.416,-1.304,0.963,-1.379,0.481
0.740,1.409,0.387,-1.296,0.887,-1.470,0.444
0.760,1.425,0.356,-1.287,0.811,-1.554,0.405
0.780,1.440,0.323,-1.280,0.733,-1.631,0.366
0.800,1.453,0.289,-1.274,0.655,-1.702,0.327
0.820,1.464,0.254,-1.268,0.576,-1.765,0.288
0.840,1.474,0.217,-1.263,0.496,-1.820,0.248
0.860,1.483,0.180,-1.259,0.416,-1.867,0.208
0.880,1.489,0.142,-1.255,0.335,-1.906,0.168
0.900,1.494,0.103,-1.253,0.254,-1.937,0.127
0.920,1.498,0.064,-1.251,0.173,-1.960,0.086
0.940,1.500,0.024,-1.250,0.091,-1.973,0.046
0.960,1.500,-0.015,-1.250,0.010,-1.979,0.005
0.980,1.498,-0.055,-1.251,-0.072,-1.976,-0.036
1.000,1.495,-0.094,-1.252,-0.153,-1.964,-0.077
1.020,1.491,-0.133,-1.255,-0.235,-1.943,-0.117
1.040,1.484,-0.171,-1.258,-0.316,-1.914,-0.158
1.060,1.476,-0.209,-1.262,-0.397,-1.877,-0.198
1.080,1.467,-0.245,-1.267,-0.477,-1.832,-0.238
1.100,1.456,-0.281,-1.272,-0.557,-1.778,-0.278
1.120,1.443,-0.315,-1.278,-0.636,-1.717,-0.318
1.140,1.429,-0.348,-1.286,-0.714,-1.649,-0.357
1.160,1.413,-0.380,-1.294,-0.792,-1.573,-0.396
1.180,1.396,-0.409,-1.302,-0.869,-1.491,-0.435
1.200,1.377,-0.437,-1.312,-0.945,-1.401,-0.472
1.220,1.356,-0.464,-1.322,-1.020,-1.306,-0.510
1.240,1.334,-0.488,-1.333,-1.094,-1.205,-0.547
1.260,1.311,-0.510,-1.344,-1.166,-1.099,-0.583
1.280,1.286,-0.529,-1.357,-1.238,-0.989,-0.619
1.300,1.260,-0.547,-1.370,-1.307,-0.873,-0.654
1.320,1.233,-0.562,-1.384,-1.376,-0.754,-0.688
